Departamento,Municipio,Operadora,Campo,Contrato,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
PUTUMAYO,PUERTO CAICEDO,ECOPETROL S.A.,CENCELLA,ORITO,0.003,0.004,0.004,0.004,0.002,0.004,0.001,0,0,0,0,0
CASANARE,MANI,EMERALD ENERGY PLC SUCURSAL COLOMBIA,CENTAURO SUR,CAMPO RICO,0.002,0,0,0,0,0,0,0,0,0,0,0
NORTE DE SANTANDER,CUCUTA,PACIFIC STRATUS ENERGY COLOMBIA CORP,CERRITO,CERRITO,0.368,0.365,0.357,0.34,0,0,0,0,0,0,0,0.327
NORTE DE SANTANDER,CUCUTA,PACIFIC STRATUS ENERGY COLOMBIA CORP,CERRITO,CERRITO,0,0,0,0,0.364,0.344,0.341,0.34,0.339,0.332,0.327,0
NORTE DE SANTANDER,SARDINATA,WATTLE PETROLEUM COMPANY S.A.S,CERRO GORDO,CARBONERA,0,0,0,0,0,0,0,0.347,0.402,0.438,0.4,0.352
NORTE DE SANTANDER,SARDINATA,WELL LOGGING,CERRO GORDO,CARBONERA,0.687,0.639,0.597,0.644,0.522,0.494,0.494,0,0,0,0,0
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,CHAPARRITO,ESTERO,0.001,0,0,0,0,0,0,0,0,0,0,0
TOLIMA,PURIFICACIÓN,HOCOL S.A.,CHENCHE,CHENCHE,0.05,0.051,0.026,0.01,0.011,0.013,0.014,0.013,0.013,0.013,0,0.008
SANTANDER,CIMITARRA,MANSAROVAR ENERGY COLOMBIA LTD,CHICALA,NARE,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.002
META,ACACIAS,ECOPETROL S.A.,CHICHIMENE,CUBARRAL,5.729,4.704,3.393,3.068,3.598,4.148,4.269,3.663,3.547,3.93,4.066,2.697
META,GUAMAL,ECOPETROL S.A.,CHICHIMENE SW,CUBARRAL,2.425,2.182,1.714,1.974,1.966,2.035,2.227,2.199,10.767,10.9,2.02,4.287
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,CHIPIRÓN,0.813,0.836,0.824,0.887,0.854,0.829,0.347,0.327,0.802,0.797,0.667,0.618
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,CHIPIRÓN,0,0,0,0,0,0,0,0.008,0.019,0.021,0.02,0.019
GUAJIRA,MANAURE,CHEVRON PETROLEUM COMPANY,CHUCHUPA,GUAJIRA,364.397,349.427,343.377,316.948,276.124,273.817,278.406,285.766,277.049,277.876,274.536,257.545
CESAR,RIO DE ORO,PETROLEOS DEL NORTE S.A,CHUIRA,MIDAS,0.062,0.063,0.062,0.065,0.064,0.063,0.052,0.056,0.055,0.054,0.06,0.06
PUTUMAYO,ORITO,ECOPETROL S.A.,CHURUYACO,ORITO,1.045,1.114,0.878,0.02,0.041,0.046,0.042,1.759,2.959,2.924,2.9,2.313
BOLIVAR,CICUCO,ECOPETROL S.A.,CICUCO,CICUCO BOQUETE,1.674,1.533,1.429,1.56,1.653,1.646,1.647,1.618,1.485,1.382,0.909,0.855
BOLIVAR,TALAIGUA NUEVO,ECOPETROL S.A.,CICUCO,CICUCO BOQUETE,0,0,0,0,0,0,0,0,0,0,0.54,0.507
CORDOBA,SAHAGUN,CONOCOPHILLIPS COLOMBIA VENTURES LTD. SUCURSAL COLOMBIA,CLARINETE,VIM 5,0.196,0,2.217,10.137,13.58,16.044,17.513,20.23,19.366,15.611,16.953,13.38
SUCRE,LA UNION,CONOCOPHILLIPS COLOMBIA VENTURES LTD. SUCURSAL COLOMBIA,CLARINETE,VIM 5,2.1,2.241,0.031,10.503,13.919,16.148,17.691,19.725,20.055,15.761,11.014,12.078
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,COBRA,CORCEL,0.021,0.021,0.021,0.021,0.021,0.02,0.014,0.005,0.003,0.017,0.039,0.039
PUTUMAYO,PUERTO ASIS,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S.,COHEMBI,SURORIENTE,0.307,0.232,0.311,0.33,0.304,0.258,0.143,0.078,0.333,0.354,0.353,0.38
SANTANDER,RIONEGRO,PETROLEOS DEL NORTE S.A,COLÓN,LA PALOMA,0.022,0.016,0.017,0.019,0.02,0.014,0.009,0.014,0.016,0.013,0.008,0.011
CESAR,EL PASO,TEXICAN OIL LTD SUCURSAL EN COLOMBIA,COMPAE,MARACAS,0.635,2.153,2.439,2.729,2.61,2.489,1.856,2.719,2.663,2.066,2.488,2.988
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,CORAZÓN,CARARE LAS MONAS,0.115,0.052,0.135,0.137,0.134,0.124,0.122,0.122,0.124,0.143,0.16,0.17
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,CORAZÓN WEST,CARARE LAS MONAS,0.421,0.667,0.687,0.667,0.719,0.675,0.654,0.623,0.55,0.587,0.557,0.502
