DEPARTAMENTO,MUNICIPIO,COMPAÑÍA OPERADORA,CONTRATO,CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
SANTANDER,SAN VICENTE DE CHUCURI,ECOPETROL,RAMSHORL-ECOPETROL,GUARIQUIES,200,23,128,145,84,109,123,120,111,107,85,82
SUCRE,LOS PALMITOS,PACIFIC STRATUS ENERGY,LA CRECIENTE,APAMATE,0,0,0,0,0,63,0,0,0,0,0,0
SUCRE,LOS PALMITOS,PACIFIC STRATUS ENERGY,LA CRECIENTE,LA CRECIENTE,21559,21625,22596,22021,22408,22207,20205,22370,21988,22059,22798,22493
SUCRE,OVEJAS,HOCOL S.A.,E&P SAMAN,MAMEY,0,0,0,0,0,0,0,0,0,5135,0,0
SUCRE,SAN PEDRO,PACIFIC STRATUS ENERGY,LA CRECIENTE,APAMATE,0,0,0,0,0,0,4042,2330,1659,287,0,0
SUCRE,SAN PEDRO,PACIFIC STRATUS ENERGY,LA CRECIENTE,LA CRECIENTE,42714,39181,38724,37188,37284,34986,28291,32357,32413,25585,24398,25313
SUCRE,SAN PEDRO,PACIFIC STRATUS ENERGY,LA CRECIENTE,LA CRECIENTE-D,151,1706,14,488,3730,4111,2400,4711,4371,13085,14167,14429
TOLIMA,ALVARADO,ECOPETROL ALTO MAGDALENA,ARMERO ECOPETROL,TOTARE,0,0,0,0,0,0,0,0,0,38,37,39
TOLIMA,ALVARADO,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,ARMERO,TOTARE,50,46,55,49,63,46,49,42,39,0,0,0
TOLIMA,CHAPARRAL,PETROTESTING  COLOMBIA S.A.,TOLIMA - B,RIO SALDAÑA,25,27,29,29,27,12,23,23,23,16,22,19
TOLIMA,ESPINAL,KAPPA RESOURCES COLOMBIA LTD.,ABANICO,ABANICO,921,861,669,612,651,650,536,691,640,521,481,472
TOLIMA,MELGAR,PERENCO COLOMBIA LIMITED,BOQUERON,GUANDO,1847,1931,1534,1486,1570,1461,1590,1547,1588,1572,1528,1500
TOLIMA,MELGAR,PERENCO COLOMBIA LIMITED,BOQUERON,GUANDO SW,42,43,48,49,4,61,84,89,90,87,6,39
TOLIMA,ORTEGA,ECOPETROL ALTO MAGDALENA,ORTEGA,ORTEGA,156,6,156,156,156,156,156,156,155,156,156,157
TOLIMA,ORTEGA,ECOPETROL ALTO MAGDALENA,ORTEGA,PACANDE,165,0,159,129,148,100,78,76,78,75,54,63
TOLIMA,ORTEGA,ECOPETROL ALTO MAGDALENA,ORTEGA,QUIMBAYA,99,92,90,85,80,78,52,59,56,57,55,54
TOLIMA,ORTEGA,ECOPETROL ALTO MAGDALENA,ORTEGA,TOLDADO,112,110,84,61,87,225,225,210,219,227,221,176
TOLIMA,ORTEGA,ECOPETROL ALTO MAGDALENA,ORTEGA,TOY,93,93,93,92,88,90,91,73,89,84,80,12
TOLIMA,PIEDRAS,ECOPETROL ALTO MAGDALENA,PULI-ECOPETROL,TOQUI-TOQUI,0,0,0,0,0,0,0,1299,1257,0,0,0
TOLIMA,PIEDRAS,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,AMBROSIA,AMBROSIA,38,36,33,35,36,35,36,35,36,37,34,36
TOLIMA,PIEDRAS,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,MANA,MANA,3475,3549,3461,3460,3254,3172,3267,3792,3931,4339,4161,4059
TOLIMA,PIEDRAS,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,PULI,TOQUI-TOQUI,1439,1382,1410,1392,1352,1356,1179,0,0,1294,1217,1238
TOLIMA,PIEDRAS,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,RIO OPIA,RIO OPIA,124,125,110,124,115,133,138,139,155,159,150,144
TOLIMA,PURIFICACIÓN,PERENCO COLOMBIA LIMITED,ESPINAL,MATACHIN NORTE,8325,8194,7324,6245,5575,0,0,4379,4154,3752,3583,3159
TOLIMA,PURIFICACIÓN,PERENCO COLOMBIA LIMITED,ESPINAL,MATACHIN SUR,6730,6508,6287,5660,4420,0,0,4682,4565,4070,4039,3699
TOLIMA,PURIFICACIÓN,PERENCO COLOMBIA LIMITED,ESPINAL,PURIFICACION,28,28,29,28,26,0,0,25,25,25,24,25
TOLIMA,PURIFICACIÓN,PETROTESTING  COLOMBIA S.A.,CHENCHE CDND/I,CHENCHE,0,0,0,0,0,0,0,0,0,0,0,0
TOLIMA,SAN LUIS,ECOPETROL ALTO MAGDALENA,ORTEGA,PACANDE,0,155,0,0,0,0,0,0,0,0,0,0
