Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
HUILA,AIPE,3.243441923,-75.27670655,POINT (-75.27670655 3.243441923),ECOPETROL S.A.,PIJAO-POTRERILLO,TENAY,0.76,0.7,0.65,0.64,0.6,0.58,0.62,0.56,0.56,0.57,0.48,0.47
HUILA,GARZON,2.172441496,-75.57131243,POINT (-75.57131243 2.172441496),EMERALD ENERGY PLC SUCURSAL COLOMBIA,MATAMBO,GIGANTE,0.02,0.01,0,0,0,0,0,0,0.23,0.29,0.49,0.56
HUILA,NEIVA,2.993360046,-75.27236232,POINT (-75.27236232 2.993360046),ECOPETROL S.A.,CAGUAN,ESPINO,0.04,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.02
HUILA,NEIVA,2.993360046,-75.27236232,POINT (-75.27236232 2.993360046),ECOPETROL S.A.,CAGUAN,RIO CEIBAS,2.71,2.88,2.69,2.5,2.24,2.2,1.99,1.98,2.18,2.17,1.91,2.02
HUILA,NEIVA,2.993360046,-75.27236232,POINT (-75.27236232 2.993360046),ECOPETROL S.A.,CAMPOS TELLO Y LA JAGUA,TELLO,0.63,0.62,0.63,0.95,0.91,0.92,0.95,0.9,0.96,0.96,0.95,1.01
HUILA,NEIVA,2.993360046,-75.27236232,POINT (-75.27236232 2.993360046),ECOPETROL S.A.,PALERMO,SAN FRANCISCO,2.38,2.4,2.52,2.31,2.26,2.25,2.09,1.92,1.98,1.82,1.48,1.79
HUILA,NEIVA,2.993360046,-75.27236232,POINT (-75.27236232 2.993360046),ECOPETROL S.A.,PIJAO-POTRERILLO,CEBÚ,0.04,0.03,0.05,0.08,0.06,0.09,0.13,0.14,0.13,0.11,0.12,0.1
HUILA,NEIVA,2.993360046,-75.27236232,POINT (-75.27236232 2.993360046),ECOPETROL S.A.,PIJAO-POTRERILLO,PALOGRANDE,0.2,0.18,0.12,0.13,0.15,0.15,0.17,0.2,0.22,0.19,0.23,0.21
HUILA,NEIVA,2.993360046,-75.27236232,POINT (-75.27236232 2.993360046),ECOPETROL S.A.,PIJAO-POTRERILLO,PALOGRANDE HONDA,0.01,0.04,0.03,0.01,0.02,0.03,0.07,0.06,0.04,0.05,0.07,0.07
HUILA,NEIVA,2.993360046,-75.27236232,POINT (-75.27236232 2.993360046),ECOPETROL S.A.,PIJAO-POTRERILLO,PIJAO POTRERILLO,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.05,0.06,0.06,0.03,0.03
HUILA,PAICOL,2.40689827,-75.72803027,POINT (-75.72803027 2.40689827),HOCOL S.A.,RIO PAEZ,LA CAÑADA NORTE,1.26,1.34,1.51,1.5,1.48,1.52,1.54,1.62,1.66,1.63,1.64,1.7
HUILA,PALERMO,2.914491967,-75.44066118,POINT (-75.44066118 2.914491967),ECOPETROL S.A.,PALERMO,PALERMO,0.04,0.11,0.15,0.12,0.1,0.07,0.05,0.05,0.04,0.03,0.01,0.03
HUILA,PALERMO,2.914491967,-75.44066118,POINT (-75.44066118 2.914491967),ECOPETROL S.A.,PALERMO,SAN FRANCISCO,1.14,1.13,1.12,1.15,1.14,0.91,0.91,0.89,0.99,1,1.09,1
HUILA,PALERMO,2.914491967,-75.44066118,POINT (-75.44066118 2.914491967),ECOPETROL S.A.,SANTA CLARA,SANTA CLARA,0.47,0.42,0.38,0.41,0.43,0.45,0.46,0.41,0.4,0.38,0.35,0.26
HUILA,TESALIA,2.526855132,-75.68259642,POINT (-75.68259642 2.526855132),HOCOL S.A.,RIO PAEZ,LA HOCHA,0.63,0.6,0.57,0.53,0.6,0.72,0.62,0.63,0.6,0.6,0.57,0.54
HUILA,VILLAVIEJA,3.287057875,-75.13838292,POINT (-75.13838292 3.287057875),ECOPETROL S.A.,PIJAO-POTRERILLO,LOMA LARGA,0.25,0.25,0.25,0.12,0.26,0.26,0.31,0.33,0.31,0.01,0.16,0.2
HUILA,YAGUARA,2.646563339,-75.51592645,POINT (-75.51592645 2.646563339),ECOPETROL S.A.,HOBO,YAGUARA,0.57,0.52,0.52,0.52,0.57,0.69,0.74,0.73,0.78,0.81,0.74,0.75
MAGDALENA,ARIGUANI,9.834264955,-74.08460085,POINT (-74.08460085 9.834264955),PETROLEOS SUD AMERICANOS SUCURSAL COLOMBIA,EL DIFÍCIL,EL DIFÍCIL,14.93,14.42,14.92,15.11,14.51,14.48,14.22,13.8,13.58,13.32,13.02,12.83
MAGDALENA,SANTA ANA,9.503097215,-74.44419381,POINT (-74.44419381 9.503097215),Frontera Energy Colombia Corp Sucursal Colombia,GUAMA,CAPURE,0,0,0,0,0,0,0,0,0,0,0,0
MAGDALENA,SANTA ANA,9.503097215,-74.44419381,POINT (-74.44419381 9.503097215),Frontera Energy Colombia Corp Sucursal Colombia,GUAMA,COTORRA,0,0,0,0,0,0,0,0,0,0,0,0
MAGDALENA,SANTA ANA,9.503097215,-74.44419381,POINT (-74.44419381 9.503097215),Frontera Energy Colombia Corp Sucursal Colombia,GUAMA,MANAMO,0.02,0,0,0,0,0,0,0,0,0,0,0.11
MAGDALENA,SANTA ANA,9.503097215,-74.44419381,POINT (-74.44419381 9.503097215),Frontera Energy Colombia Corp Sucursal Colombia,GUAMA,PEDERNALITO,0.28,0.17,0.18,0.19,0.2,0.22,0.25,0.18,0.21,0.22,0.22,0.24
META,ACACIAS,3.943383008,-73.57135162,POINT (-73.57135162 3.943383008),ECOPETROL S.A.,CPO 9,AKACIAS,0.35,0.48,0.59,0.56,0.57,0.56,0.55,0.64,0.59,0.7,0.7,0.71
META,ACACIAS,3.943383008,-73.57135162,POINT (-73.57135162 3.943383008),ECOPETROL S.A.,CUBARRAL,CHICHIMENE,2.96,2.36,2.61,2.61,2.47,2.74,2.82,3.3,3.77,3.62,3.95,3.79
META,ACACIAS,3.943383008,-73.57135162,POINT (-73.57135162 3.943383008),ECOPETROL S.A.,CUBARRAL,CHICHIMENE SW,0,0,0,0,0,0,0,0,0,0,0,0
META,BARRANCA DE UPIA,4.519076127,-72.99548981,POINT (-72.99548981 4.519076127),Frontera Energy Colombia Corp Sucursal Colombia,CORCEL,CORCEL A,0.09,0.09,0.07,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07
META,BARRANCA DE UPIA,4.519076127,-72.99548981,POINT (-72.99548981 4.519076127),Frontera Energy Colombia Corp Sucursal Colombia,CORCEL,CORCEL C,0.17,0.15,0.16,0.14,0.16,0.16,0.17,0.16,0.15,0.14,0.15,0.16
META,BARRANCA DE UPIA,4.519076127,-72.99548981,POINT (-72.99548981 4.519076127),Frontera Energy Colombia Corp Sucursal Colombia,CORCEL,ESPADARTE,0.01,0.02,0.02,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
META,CABUYARO,4.315244759,-72.95268896,POINT (-72.95268896 4.315244759),ONGC VIDESH LIMITED SUCURSAL COLOMBIANA,CPO 5,INDICO,0.02,0,0.01,0.04,0.04,0.05,0.03,0.02,0.02,0.02,0.02,0.03
META,CABUYARO,4.315244759,-72.95268896,POINT (-72.95268896 4.315244759),ONGC VIDESH LIMITED SUCURSAL COLOMBIANA,CPO 5,MARIPOSA,0.12,0.12,0.12,0.1,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.1
META,CABUYARO,4.315244759,-72.95268896,POINT (-72.95268896 4.315244759),Frontera Energy Colombia Corp Sucursal Colombia,CORCEL,COBRA,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01
META,CABUYARO,4.315244759,-72.95268896,POINT (-72.95268896 4.315244759),Frontera Energy Colombia Corp Sucursal Colombia,CORCEL,CORCEL D,0.08,0.1,0.1,0.1,0.09,0.07,0.03,0,0.05,0,0,0
META,CABUYARO,4.315244759,-72.95268896,POINT (-72.95268896 4.315244759),Frontera Energy Colombia Corp Sucursal Colombia,CORCEL,CORCEL E,0.04,0.04,0.03,0.03,0,0.02,0.02,0.02,0.03,0.03,0.03,0.03
META,CABUYARO,4.315244759,-72.95268896,POINT (-72.95268896 4.315244759),Frontera Energy Colombia Corp Sucursal Colombia,GUATIQUIA,ARDILLA,0.2,0.19,0.18,0.19,0.19,0.19,0.21,0.21,0.22,0.22,0.21,0
META,CABUYARO,4.315244759,-72.95268896,POINT (-72.95268896 4.315244759),Frontera Energy Colombia Corp Sucursal Colombia,GUATIQUIA,AVISPA,0.68,0.71,0.62,0.61,0.57,0.59,0.56,0.61,0.63,0.6,0.57,0
META,CABUYARO,4.315244759,-72.95268896,POINT (-72.95268896 4.315244759),Frontera Energy Colombia Corp Sucursal Colombia,GUATIQUIA,CANDELILLA,0.35,0.31,0.25,0.23,0.16,0.12,0.1,0.09,0.07,0.1,0.11,0.1
META,CABUYARO,4.315244759,-72.95268896,POINT (-72.95268896 4.315244759),Frontera Energy Colombia Corp Sucursal Colombia,GUATIQUIA,CEIBO,0.09,0.09,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.13
META,CABUYARO,4.315244759,-72.95268896,POINT (-72.95268896 4.315244759),Frontera Energy Colombia Corp Sucursal Colombia,GUATIQUIA,YATAY,0.1,0.1,0.11,0.12,0.12,0.12,0.12,0.07,0,0,0,0
META,GUAMAL,3.947775585,-73.95983864,POINT (-73.95983864 3.947775585),ECOPETROL S.A.,CUBARRAL,CHICHIMENE,0.33,0.39,0.07,0.1,0.03,0.02,0,0.08,0.12,0.15,0.08,0.06
META,GUAMAL,3.947775585,-73.95983864,POINT (-73.95983864 3.947775585),ECOPETROL S.A.,CUBARRAL,CHICHIMENE SW,1.27,1.1,1.19,0.4,0.52,0.57,0.39,0.5,0.3,0.22,0.3,0.31
META,MUNICIPIO NN META,3.947775585,-73.95983864,POINT (-73.95983864 3.947775585),Frontera Energy Colombia Corp Sucursal Colombia,GUATIQUIA,Alligator,0.39,0.35,0.34,0.32,0.31,0.31,0.32,0.33,0.34,0.3,0.32,0
META,PUERTO GAITAN,4.005034467,-71.63157429,POINT (-71.63157429 4.005034467),CEPSA COLOMBIA S.A.,CARACARA,CARACARA SUR A,0.14,0.19,0.16,0.15,0.16,0.2,0.26,0.28,0.27,0.28,0.26,0.26
META,PUERTO GAITAN,4.005034467,-71.63157429,POINT (-71.63157429 4.005034467),CEPSA COLOMBIA S.A.,CARACARA,CARACARA SUR B Y C,0.06,0.06,0.06,0.05,0.05,0.06,0.09,0.1,0.09,0.08,0.08,0.09
META,PUERTO GAITAN,4.005034467,-71.63157429,POINT (-71.63157429 4.005034467),HOCOL S.A.,GUARROJO,GUARROJO,0,0,0,0,0,0,0,0,0,0,0,0
META,PUERTO GAITAN,4.005034467,-71.63157429,POINT (-71.63157429 4.005034467),HOCOL S.A.,GUARROJO,OCELOTE,0.33,0.3,0.31,0.31,0.32,0.33,0.32,0.32,0.34,0.34,0.34,0.34
META,PUERTO GAITAN,4.005034467,-71.63157429,POINT (-71.63157429 4.005034467),HOCOL S.A.,GUARROJO,PINTADO,0.2,0.22,0.23,0.23,0.22,0.21,0.22,0.23,0.22,0.22,0.23,0.22
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,APIAY,0.66,0.64,0.63,1.22,1.04,0.98,1.13,0.82,0.64,0.58,0.58,0.69
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,APIAY ESTE,0.55,0.75,0.7,0.38,0.31,0.23,0.33,0.32,0.29,0.29,0.26,0.3
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,AUSTRAL,0.07,0.08,0.13,0.19,0.16,0.16,0.06,0.03,0,0.01,0.11,0.09
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,GAVAN,0.29,0.19,0.16,0.24,0.26,0.26,0.34,0.38,0.33,0.34,0.26,0.15
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,GUATIQUIA,1.59,1.87,1.71,1.07,1.07,0.85,1.7,1.71,1.8,1.85,1.69,1.68
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,GUAYURIBA,0.06,0.12,0.16,0.17,0.15,0.03,0,0,0,0,0,0
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,LA REFORMA,0,0,0,0.01,0,0,0,0,0,0,0,0
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,LIBERTAD NORTE,0.35,0.31,0.35,0.31,0.38,0.51,0.44,0.49,0.36,0.45,0.55,0.58
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,POMPEYA,0,0.01,0.08,0.02,0.07,0,0.03,0.03,0.02,0.03,0.03,0.02
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,SAURIO,1.09,3.76,4.06,4.05,3.5,4.21,3.2,4.32,3.33,1.93,1.07,1.25
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,SURIA,1.08,1.16,0.98,0.79,0.44,1.16,1.48,1.18,2.02,3.18,3.27,4.96
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,SURIA SUR,2.46,2.29,0.95,2.24,1.04,1.06,0.93,0.78,0.98,1.5,1.76,0.8
META,VILLAVICENCIO,4.09166877,-73.49291595,POINT (-73.49291595 4.09166877),ECOPETROL S.A.,APIAY,TANANE,0.18,0.18,0.21,0.16,0.06,0.06,0.3,0.18,0.07,0.2,0.2,0.28
NARIÑO,IPIALES,0.497708465,-77.24047625,POINT (-77.24047625 0.497708465),ECOPETROL S.A.,AREA OCCIDENTAL,SUCUMBIOS,2.07,2,1.94,1.94,0.13,1.47,2,1.75,1.83,1.92,1.96,1.99
NORTE DE SANTANDER,CUCUTA,8.112041811,-72.48862641,POINT (-72.48862641 8.112041811),ECOPETROL S.A.,URIBANTE,ORIPAYA,2.64,2.92,2.94,2.83,0.07,1.29,3.1,3.13,3.17,3.2,3.22,3.04
NORTE DE SANTANDER,CUCUTA,8.112041811,-72.48862641,POINT (-72.48862641 8.112041811),Iberoamericana de Hidrocarburos CQ Exploración y Producción S.A.S.,RIO ZULIA,RIO ZULIA,0.23,0.23,0.23,0.22,0.22,0.18,0.19,0.18,0.18,0.18,0.18,0.22
NORTE DE SANTANDER,CUCUTA,8.112041811,-72.48862641,POINT (-72.48862641 8.112041811),PETROSOUTH ENERGY CORPORATION SUCURSAL COLOMBIA,CERRITO,CERRITO,0.29,0.3,0.32,0.32,0.34,0.34,0.34,0.33,0.32,0.33,0.32,0.32
