Departamento,Operadora,Municipio,Contrato,Campo,ENERO,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CASANARE,PERENCO COLOMBIA LIMITED,AGUAZUL,CASANARE,LA GLORIA,0.75,1.27,0.81,1.3,0.52,0.67,0.95,0.66,0.64,0.49,0.6,1.27
CASANARE,PERENCO COLOMBIA LIMITED,MANI,CASANARE,LA GLORIA,1.03,0.46,1.06,0.48,1,0.74,0.88,0.8,0.79,0.57,0.68,0.74
CASANARE,PERENCO COLOMBIA LIMITED,MONTEREY,E&P EL BALAY,BALAY,0.06,0.06,0.04,0.04,0.06,0.06,0.05,0.06,0.06,0.02,0.01,0.01
CASANARE,PERENCO COLOMBIA LIMITED,MUNICIPIO NN CASANARE,CASANARE,BARQUEREÑA,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,OROCUE,ESTERO,GUANAPALO,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,OROCUE,GARCERO,CANDALAY,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,OROCUE,GARCERO,GUASAR,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,OROCUE,GARCERO,JORCAN,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,OROCUE,GARCERO,JORDAN,0,0,0,0,0.01,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,OROCUE,GARCERO,PARAVARE,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,OROCUE,GARCERO,PIRITO,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,OROCUE,GARCERO,SARDINAS,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,OROCUE,OROCUE,GUARILAQUE,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
CASANARE,PERENCO COLOMBIA LIMITED,OROCUE,OROPENDOLA PERENCO,OROPENDOLA,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,OROCUE,OROPENDOLA PERENCO,VIREO,0.02,0.05,0.03,0.04,0.05,0.03,0.05,0.05,0.06,0.06,0.04,0.06
CASANARE,PERENCO COLOMBIA LIMITED,PAZ DE ARIPORO,CASANARE,CAÑO GARZA,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,PAZ DE ARIPORO,CASANARE,CAÑO GARZA ESTE,0.04,0.04,0.03,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,PAZ DE ARIPORO,CASANARE,CAÑO GARZA NORTE,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,PAZ DE ARIPORO,ESTERO,ABEJAS,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,PAZ DE ARIPORO,ESTERO,CHAPARRITO,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,SAN LUIS DE PALENQUE,CASANARE,CRAVO ESTE,0.22,0.23,0.23,0.22,0.23,0,0.23,0.22,0.21,0.21,0.22,0
CASANARE,PERENCO COLOMBIA LIMITED,SAN LUIS DE PALENQUE,CASANARE,LA FLORA,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,SAN LUIS DE PALENQUE,COROCORA,CAÑO GANDUL,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,SAN LUIS DE PALENQUE,COROCORA,REMACHE NORTE,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07
META,ECOPETROL,VILLAVICENCIO,APIAY,LIBERTAD,0.55,0.59,0.84,0.6,0.25,0.13,0.28,0.46,0.48,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,SAN LUIS DE PALENQUE,COROCORA,REMACHE SUR,0.14,0.12,0.11,0.12,0.13,0.12,0.11,0.12,0.11,0.1,0.1,0.11
CASANARE,PERENCO COLOMBIA LIMITED,SAN LUIS DE PALENQUE,ESTERO,GUANAPALO,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,TRINIDAD,COROCORA,COREN,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
CASANARE,PERENCO COLOMBIA LIMITED,TRINIDAD,COROCORA,COROCORA,0.04,0.04,0.04,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02
CASANARE,PERENCO COLOMBIA LIMITED,TRINIDAD,GARCERO,PALMARITO,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,TRINIDAD,GARCERO,SIRENAS,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PERENCO COLOMBIA LIMITED,TRINIDAD,YALEA,TRINIDAD,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02
CASANARE,PERENCO COLOMBIA LIMITED,YOPAL,CASANARE,LA GLORIA NORTE,0.83,0.77,0.82,0.7,0.71,0.94,0.95,0.83,0.68,0.86,0.83,0.84
CASANARE,PERENCO COLOMBIA LIMITED,YOPAL,CASANARE,MORICHAL,3.96,3.9,3.89,3.78,3.74,3.22,2.64,2.47,2.28,2.16,2,1.96
CASANARE,PERENCO COLOMBIA LIMITED,YOPAL,CASANARE,TOCARIA,2.2,0.6,0.7,0.46,0.42,0.69,0.46,0.29,0.31,0.24,0.18,0.14
CASANARE,PETROMINERALES COLOMBIA LTD,MONTEREY,Canaguaro E&P-016 del 2006,Canaguaro,0,0,0,0,0,0,0.29,1.82,1.8,0.84,0.71,0.6
CASANARE,PETROMINERALES COLOMBIA LTD,OROCUE,CASANARE ESTE,CURITO,0,0,0,0,0,0.12,0.1,0.09,0.09,0.09,0.08,0.07
CASANARE,PETROMINERALES COLOMBIA LTD,SAN LUIS DE PALENQUE,CASANARE ESTE,CURITO,0,0,0,0,0,0.12,0.08,0.07,0.07,0.07,0.06,0.05
CASANARE,PETROMINERALES COLOMBIA LTD,TAURAMENA,Canaguaro E&P-016 del 2006,Canaguaro,0,0,0,0,0,0,0,0,0,0.99,0.83,0.7
CASANARE,PETROMINERALES COLOMBIA LTD,VILLA NUEVA,CORCEL,CARUTO,0.15,0.18,0.2,0.2,0.2,0.21,0.2,0.18,0.13,0.15,0.09,0
CASANARE,TABASCO OIL COMPANY,PAZ DE ARIPORO,JAGUEYES,ANDALUZ,0,0,0.04,0,0.01,0.01,0.01,0.01,0.01,0,0,0
CASANARE,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.,OROCUE,CDNDI,SANTO DOMINGO,0.48,0.52,0.48,0.48,0.47,0.46,0.46,0.46,0.47,0.45,0.44,0.42
CASANARE,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.,OROCUE,CDNDI,SANTO DOMINGO NORTE,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.17,0.02,0.02,0.01,0.14
CASANARE,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.,OROCUE,LA PUNTA - CDND/I - VETRA,JUAPE,0,0,0,0,0,0,0,0.17,0.79,0.53,0.38,0.23
CAUCA,GRAN TIERRA ENERGY COLOMBIA LTD,PIAMONTE,GUAYUYACO,GUAYUYACO,0,0,0,0,0,0,0,0,0,0,0,0
CAUCA,GRAN TIERRA ENERGY COLOMBIA LTD,PIAMONTE,GUAYUYACO,MIRAFLOR OESTE,0,0,0,0,0,0,0,0,0.01,0.03,0.03,0.03
CAUCA,GRAN TIERRA ENERGY COLOMBIA LTD,PIAMONTE,SANTANA,MARY,0,0,0,0,0,0,0,0,0,0,0,0
CESAR,Canacol Energy Colombia S.A.,AGUACHICA,E&P SANTA ISABEL,OSO PARDO,0.04,0.03,0.04,0.04,0.04,0.04,0.29,0.48,0.52,0.39,0.21,0.19
CESAR,DRUMMOND LTD,EL PASO,LA LOMA,IGUANA,0.02,0.02,0.02,0.02,0.01,0.01,0,0,0,0,0,0
CESAR,DRUMMOND LTD,LA JAGUA IBIRICO,LA LOMA,CAPORO,0.1,0.11,0.12,0.13,0.12,0.1,0.1,0.1,0.1,0.1,0.09,0.1
CESAR,DRUMMOND LTD,LA JAGUA IBIRICO,LA LOMA,PAUJIL,0.03,0.09,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01
CESAR,ECOPETROL,SAN MARTÍN,TISQUIRAMA-C,SAN ROQUE,0.4,0.4,0.43,0.4,0.37,0.4,0.44,0.36,0.33,0.34,0.34,0.33
CESAR,ECOPETROL,SAN MARTÍN,TISQUIRAMA-C,TISQUIRAMA,0.43,0.54,0.57,0.58,0.68,0.71,0.71,0.68,0.7,0.6,0.55,0.52
CESAR,ECOPETROL,SAN MARTÍN,TISQUIRAMA-C,TISQUIRAMA ESTE,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.11
CESAR,EMERALD ENERGY  DE COLOMBIA PLC,RIO DE ORO,FORTUNA,PIMIENTO,0.06,0.04,0.07,0.03,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0
CESAR,EMERALD ENERGY  DE COLOMBIA PLC,RIO DE ORO,FORTUNA,TOTUMAL,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0
CESAR,EXXON MOBIL,AGUACHICA,Valle Medio del Magdalena VMM2,MONO ARAÑA,0,0.01,0,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.13,0.16
CESAR,Lewis Energy Colombia,AGUACHICA,Contrato E&P N° 39 de 2009 - VMM,CARAMELO,0,0,0,0,0.21,0.21,0,0,0,0,0,0
CESAR,Lewis Energy Colombia,AGUACHICA,Contrato E&P N° 39 de 2009 - VMM,TOPOSI,0,0,0,0,0,0,0.09,0.17,0,0,0.08,0
CESAR,PETROLEOS DEL NORTE S.A,RIO DE ORO,E&P LA PALOMA,JUGLAR,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0
CESAR,PETROLEOS DEL NORTE S.A,RIO DE ORO,E&P MIDAS,CHUIRA,0,0,0,0,0,0,0,0,0,0,0,0.16
CESAR,PETROLEOS DEL NORTE S.A,RIO DE ORO,Tisquirama  B,LOS ANGELES,0.05,0.06,0.13,0.17,0.09,0.07,0.29,0.27,0.16,0.13,0.06,0.05
CESAR,PETROLEOS DEL NORTE S.A,RIO DE ORO,Tisquirama  B,SERAFIN,3.14,2.93,2.65,2.38,3.52,2.39,3.42,3.02,2.17,2.1,1.88,1.49
CESAR,PETROLEOS DEL NORTE S.A,SAN ALBERTO,TISQUIRAMA-A,SANTA LUCIA,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.04,0.03,0.03,0.01,0.02
CESAR,PETROLEOS DEL NORTE S.A,SAN MARTÍN,E&P MIDAS,ACORDIONERO,0,0,0,0,0,0,0.46,0.36,0.48,0.44,0.53,0.58
CORDOBA,GEOPRODUCTION OIL & GAS COMPANY,PUEBLO NUEVO,ESPERANZA,PALMER,0,0,0,0,0,0,0,0,0,0,0,0.57
CORDOBA,GEOPRODUCTION OIL & GAS COMPANY,PUEBLO NUEVO,ESPERANZA,NELSON,16.11,17.01,11.98,14.1,17.19,18.9,18.08,19.13,19.24,18.53,20.14,15.38
CORDOBA,GEOPRODUCTION OIL & GAS COMPANY,SAHAGUN,ESPERANZA,ARIANNA,0.04,0.02,0,0,0,0,0,0.36,0.19,0.09,0.01,0.67
CORDOBA,GEOPRODUCTION OIL & GAS COMPANY,SAHAGUN,ESPERANZA,CAÑAFLECHA,0.03,0.02,0,0,0,0,0,0,0,0,0,0
CUNDINAMARCA,ECOPETROL ALTO MAGDALENA,PULI,PULI 109,PULI,0.05,0.1,0.15,0.15,0.14,0.14,0.13,0.11,2.46,2.06,1.93,1.85
CUNDINAMARCA,SIPETROL S.A.,GUADUAS,DINDAL - RIO SECO,GUADUAS,2.51,2.53,2.52,2.55,3.02,2.43,2.28,2.27,2.25,2.17,2.09,1.99
DEPARTAMENTO NN,ECOPETROL,MUNICIPIO NN,CONVENIO DE EXPLORACION Y EXPLOTACION DE HIDROCARBUROS AREA SIRIRI,GIBRALTAR,40,41.15,22.76,0.47,8.63,39.04,36.64,36.37,41.42,41.51,37.58,35.95
GUAJIRA,CHEVRON - TEXACO,MANAURE,GUAJIRA,BALLENA,67.48,69.08,73.15,74.19,68.69,60.35,57.35,52.44,60.74,62.3,60.08,59.46
GUAJIRA,CHEVRON - TEXACO,MANAURE,GUAJIRA,CHUCHUPA,481.78,464.69,456.28,459.59,423.57,416.76,393.68,400.06,420.97,426.05,418.61,397.68
GUAJIRA,CHEVRON - TEXACO,MANAURE,GUAJIRA,RIOHACHA,33.81,32.68,29.09,30.22,19.28,19.77,15.53,13.91,9.8,8.25,10.02,7.19
GUAJIRA,DRUMMOND LTD,FONSECA,RÍO RANCHERÍA,CARRETALITO,0.02,0.01,0.01,0.02,0.03,0.03,0.03,0.01,0.01,0.01,0.02,0.02
HUILA,ECOPETROL,NEIVA,CAGUAN ECOPETROL,CHAPARRO,0.54,0.51,0.5,0.64,0.72,0.11,0,0,0,0,0,0
HUILA,ECOPETROL,NEIVA,CAGUAN ECOPETROL,ESPINO,0.02,0.01,0.03,0.03,0.03,0.08,0.1,0.12,0.15,0.22,0.14,0.13
HUILA,ECOPETROL,NEIVA,CAGUAN ECOPETROL,RIO CEIBAS,2.43,2.47,2.12,1.96,1.82,2.84,3.09,3.51,3.22,3.23,3.38,3.41
HUILA,ECOPETROL,YAGUARA,HOBO ECOPETROL,YAGUARA,0.89,0.81,0.76,0.8,0.84,0.81,0.82,0.76,0.75,0.78,0.75,0.75
HUILA,ECOPETROL ALTO MAGDALENA,AIPE,ALTO MAGDALENA,ARRAYAN,0.44,0.44,0.43,0.43,0.41,0.45,0.45,0.4,0.33,0.32,0.29,0.26
HUILA,ECOPETROL ALTO MAGDALENA,AIPE,ALTO MAGDALENA,BRISAS,0.12,0.11,0.1,0.17,0.29,0.33,0.34,0.51,0.54,0.58,0.45,0.5
HUILA,ECOPETROL ALTO MAGDALENA,AIPE,ALTO MAGDALENA,DINA CRETACEO,0.16,0.16,0.16,0.14,0.11,0.11,0.12,0.15,0.17,0.24,0.23,0.23
HUILA,ECOPETROL ALTO MAGDALENA,AIPE,ALTO MAGDALENA,DINA TERCIARIO,6.09,5.94,5.91,6.19,6.34,5.83,5.51,5.24,4.77,4.05,3.96,3.84
HUILA,ECOPETROL ALTO MAGDALENA,AIPE,ALTO MAGDALENA,LOMA LARGA,0,0,0,0,0,0,0,0,0,0,0.19,0
HUILA,ECOPETROL ALTO MAGDALENA,AIPE,ALTO MAGDALENA,TEMPRANILLO,0.54,0.57,0.54,0.53,0.54,0.54,0.53,0.55,0.53,0.53,0.55,0.54
HUILA,ECOPETROL ALTO MAGDALENA,AIPE,ALTO MAGDALENA,TEMPRANILLO NORTE,0.31,0.3,0.27,0.24,0.21,0.18,0.05,0.31,0.65,0.9,0.84,0.56
HUILA,ECOPETROL ALTO MAGDALENA,AIPE,ALTO MAGDALENA,TENAY,2.09,2.29,2.11,1.49,1.65,2.03,2.01,1.87,1.94,1.93,1.83,2.04
HUILA,ECOPETROL ALTO MAGDALENA,AIPE,PALERMO ECOPETROL,BALCON,0.73,0.71,0.62,0.63,0.64,0.6,0.54,0.56,0.54,0.47,0.52,0.51
HUILA,ECOPETROL ALTO MAGDALENA,NEIVA,ALTO MAGDALENA,CEBU,0.03,0.03,0.04,0.03,0.04,0.05,0.05,0.06,0.05,0.04,0.03,0.05
HUILA,ECOPETROL ALTO MAGDALENA,NEIVA,ALTO MAGDALENA,PALOGRANDE,0.23,0.21,0.22,0.2,0.17,0.15,0.17,0.2,0.17,0.13,0.15,0.13
HUILA,ECOPETROL ALTO MAGDALENA,NEIVA,ALTO MAGDALENA,PIJAO,0.07,0.08,0.05,0.07,0.08,0.12,0.06,0.08,0.08,0.13,0.12,0.11
HUILA,ECOPETROL ALTO MAGDALENA,NEIVA,PALERMO ECOPETROL,SAN FRANCISCO,3.84,3.78,3.71,3.66,3.69,3.69,3.72,3.67,3.64,3.58,3.82,3.95
HUILA,ECOPETROL ALTO MAGDALENA,NEIVA,TELLO,TELLO,0,0.92,0,0,0,0,0,0,0,0,0,0
HUILA,ECOPETROL ALTO MAGDALENA,NEIVA,TELLO ECP-ANH INCREMENTAL,TELLO,0.95,0,0.94,1.04,1.04,1.27,1.3,1.16,0.91,0.92,0.86,0.71
HUILA,ECOPETROL ALTO MAGDALENA,PALERMO,ALTO MAGDALENA,SANTA CLARA,0.59,0.59,0.61,0.51,0.47,0.38,0.38,0.59,0.62,0.64,0.66,0.74
HUILA,ECOPETROL ALTO MAGDALENA,PALERMO,PALERMO ECOPETROL,PALERMO,0.41,0.39,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.41,0.35,0.4
HUILA,ECOPETROL ALTO MAGDALENA,VILLAVIEJA,ALTO MAGDALENA,HATO NUEVO,0.16,0.06,0.03,0.02,23.36,0.03,0.04,0.05,0.02,0,0,0
HUILA,ECOPETROL ALTO MAGDALENA,VILLAVIEJA,ALTO MAGDALENA,LOMA LARGA,0.09,0.16,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0,0.16
HUILA,EMERALD ENERGY  DE COLOMBIA PLC,GARZON,MATAMBO,GIGANTE,0.24,0.23,0.26,0.08,0.1,0.09,0.07,0.09,0.08,0.06,0.04,0.1
HUILA,HOCOL S.A.,PAICOL,SAN JACINTO,LA CAÑADA,1.19,1.1,1,1.02,1.05,1.03,1.07,0.95,1.05,1.05,1.31,1.23
HUILA,HOCOL S.A.,PAICOL,SAN JACINTO,LA CAÑADA NORTE,0.05,0.01,0.02,0.03,0.03,0.03,0.05,0.05,0.05,0.04,0.04,0.04
HUILA,HOCOL S.A.,TESALIA,RIO PAEZ,LA HOCHA,2.29,2.02,2.43,2.51,2.65,2.41,2.3,2.22,2.16,2.23,2.06,2.06
MAGDALENA,PACIFIC STRATUS ENERGY,SANTA ANA,E&P Guama,COTORRA,0,0,0,0,0,0,0,0,0,0,0.13,0.18
MAGDALENA,PACIFIC STRATUS ENERGY,SANTA ANA,E&P Guama,PEDERNALITO,0,0,0,0,0,0,0,0,0.17,1.46,0.28,0
MAGDALENA,PETROLIFERA PETROLEUM COLOMBIA LIMITED,PIJINO DEL CARMEN,SIERRA NEVADA,BRILLANTE,0,0.34,0.43,0.82,1.09,0.48,0,0,0,0,0,0
META,ECOPETROL,ACACIAS,CP0-9,AKACIAS,0,0.09,0.26,0.22,0.24,0.18,0.18,0.22,0.2,0.25,0.21,0
META,ECOPETROL,VILLAVICENCIO,APIAY,APIAY,4.93,3.44,2.27,2.43,2.35,3.62,4.31,4.58,4.52,4.37,5.35,4.15
META,ECOPETROL,VILLAVICENCIO,APIAY,APIAY ESTE,0.18,0.15,0.1,0.1,0.2,0.12,0.08,0.05,0.07,0.21,0.07,0.04
META,ECOPETROL,VILLAVICENCIO,APIAY,AUSTRAL,0,0,0,0,0,0.11,0.13,0.1,0.1,0.08,0.51,0.57
META,ECOPETROL,VILLAVICENCIO,APIAY,GAVAN,0.2,0.26,0.24,0.21,0.3,0.32,0.3,0.48,0.55,0.18,0.04,0.03
META,ECOPETROL,VILLAVICENCIO,APIAY,GUATIQUIA,3.05,4.06,4.54,4.1,3.51,3.71,3.34,2.1,0.81,0.83,0.33,3.05
META,ECOPETROL,VILLAVICENCIO,APIAY,GUAYURIBA,0.12,0.19,0.05,0.28,0.11,0.01,0.04,0,0,0,0,0
META,ECOPETROL,VILLAVICENCIO,APIAY,LIBERTAD NORTE,0.27,0.65,1.67,1.46,1.01,0.89,0.84,0.65,0.67,1.08,0.86,0.8
META,ECOPETROL,VILLAVICENCIO,APIAY,POMPEYA,0.09,0.09,0.1,0.06,0.04,0.02,0.01,0.02,0.05,0.06,0,0.01
META,ECOPETROL,VILLAVICENCIO,APIAY,SURIA,3.88,4.05,4.59,4.6,3.91,3.3,2.93,2.73,1.88,2.5,1.88,1.62
META,ECOPETROL,VILLAVICENCIO,APIAY,SURIA SUR,5.88,5.43,2.8,2.87,3.75,2.92,4.15,5.01,7.65,5.26,6.26,6.5
META,ECOPETROL,VILLAVICENCIO,APIAY,TANANE,0,0,0,0,0,0,0,0,0,0,0,0.12
META,ECOPETROL LLANOS,ACACIAS,CUBARRAL,CHICHIMENE,2.23,2.29,2.2,2.15,2.22,2.05,1.95,1.85,2.01,1.79,2.79,3.49
META,ECOPETROL LLANOS,GUAMAL,CUBARRAL,CHICHIMENE,0,0,0,0,0,0,0,0,0,0,0,1.39
META,ECOPETROL LLANOS,GUAMAL,CUBARRAL,CHICHIMENE SW,0.16,0.07,0.02,0.02,0.19,0.3,0.33,0.34,0.31,0.46,0.49,0
META,HOCOL S.A.,PUERTO GAITAN,E&E GUARROJO,PINTADO,0,0,0,0.07,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04
META,PERENCO COLOMBIA LIMITED,BARRANCA DE UPIA,CERRERO,CHACHARO,0,0,0,0,0,0,0.01,0,0,0,0.09,0.12
META,PERENCO COLOMBIA LIMITED,CABUYARO,CERRERO,KATMANDU NORTE,0,0,0,0,0,0,0,0.26,0,0.46,0,0
META,PETROLEOS DEL NORTE S.A,SAN MARTÍN,E&P MIDAS,ACORDIONERO,0.27,0,0.29,0.47,0.48,0.51,0.46,0,0,0,0,0
META,PETROMINERALES COLOMBIA LTD,BARRANCA DE UPIA,CORCEL,CORCEL A,0.05,0.05,0.05,0.04,0.04,0,0.02,0.01,0,0,0,0
META,PETROMINERALES COLOMBIA LTD,BARRANCA DE UPIA,CORCEL,CORCEL C,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.14,0.15,0.15,0.14
META,PETROMINERALES COLOMBIA LTD,BARRANCA DE UPIA,CORCEL,ESPADARTE,0,0,0,0,0,0,0,0,0,0,0,0.06
META,PETROMINERALES COLOMBIA LTD,CABUYARO,CORCEL,COBRA,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.04,0.04,0.04,0.04,0.03
META,PETROMINERALES COLOMBIA LTD,CABUYARO,CORCEL,CORCEL D,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04
META,PETROMINERALES COLOMBIA LTD,CABUYARO,CORCEL,CORCEL E,0.06,0.06,0.05,0.04,0.03,0.05,0.04,0.04,0.04,0.02,0.02,0.02
META,PETROMINERALES COLOMBIA LTD,CABUYARO,GUATIQUIA,ARDILLA,0,0,0,0,0,0,0,0,0,0,0.1,0.14
META,PETROMINERALES COLOMBIA LTD,CABUYARO,GUATIQUIA,AVISPA,0,0,0,0,0.03,0,0,0,0.03,0.07,0.01,0
META,PETROMINERALES COLOMBIA LTD,CABUYARO,GUATIQUIA,CANDELILLA,0.81,0.77,0.67,0.34,0.65,0.57,0.72,0.77,0.77,0.76,0.76,0.77
META,PETROMINERALES COLOMBIA LTD,CABUYARO,GUATIQUIA,CEIBO,0,0.02,0.13,0.18,0.21,0.21,0.19,0.25,0.26,0.31,0.29,0.29
META,PETROMINERALES COLOMBIA LTD,CABUYARO,GUATIQUIA,YATAY,0.65,0.63,0.58,0.51,0.48,0.47,0.47,0.52,0.52,0.51,0.51,0.51
NARIÑO,ECOPETROL D. SUR,IPIALES,ORITO,SUCUMBIOS,1.61,1.66,1.67,1.68,1.68,1.68,1.68,0.64,1.21,1.64,2.55,2.32
NORTE DE SANTANDER,ECOPETROL,CUCUTA,URIBANTE,ORIPAYA,0,0,0,0,0,0,0.17,4.15,5.56,4.05,3.57,0
NORTE DE SANTANDER,ECOPETROL,CUCUTA,ZULIA,RIO ZULIA,0.28,0.28,0.27,0.26,0.25,0.14,0.15,0.16,0.23,0.23,0.21,0.32
NORTE DE SANTANDER,ECOPETROL,TIBU,BARCO,SARDINATA,1.41,1.37,1.3,1.24,1.07,1.1,1.05,1.21,1.09,1.13,1.19,0.91
NORTE DE SANTANDER,ECOPETROL,TIBU,BARCO,TIBU,0.99,1.11,1.04,0.95,0.94,0.88,0.82,1.02,1.25,1.19,1.23,1.46
NORTE DE SANTANDER,KAPPA RESOURCES COLOMBIA LTD.,CUCUTA,CERRITO,CERRITO,0.48,0.45,0.43,0.42,0.45,0.43,0.42,0.42,0.39,0.42,0.39,0.39
NORTE DE SANTANDER,WELL LOGGING,SARDINATA,BLOQUE CARBONERA,CERRO GORDO,0.8,0.8,0.79,0.73,0.8,0.79,0.75,0.79,0.76,0.72,0.65,0.78
PUTUMAYO,Amerisur Exploración Colombia,PUERTO ASIS,PLATANILLO,PLATANILLO,0.92,0.97,1.12,1.22,0.97,1.03,1.2,1.03,0.95,0.97,0.77,1.08
PUTUMAYO,ECOPETROL D. SUR,ORITO,ORITO,CARIBE,0.85,0.8,0.8,0.86,0.84,0.82,0.81,0.85,0.59,0.7,0.81,0.46
PUTUMAYO,ECOPETROL D. SUR,ORITO,ORITO,CHURUYACO,0.02,0.02,0.02,0.01,0,0.2,0.56,0.51,0.22,0.04,0.37,0.67
PUTUMAYO,ECOPETROL D. SUR,ORITO,ORITO,ORITO,8.5,9.08,10.56,10.36,10.17,10.07,9.56,16.04,13.19,7.63,8,8.69
PUTUMAYO,ECOPETROL D. SUR,ORITO,ORITO,SAN ANTONIO,0.28,0.31,0.34,0.24,0.27,0.17,0.11,0.87,0.62,0.09,0.04,0.07
PUTUMAYO,ECOPETROL D. SUR,ORITO,ORITO,SUCIO,0.2,0.23,0.24,0.25,0.23,0.24,0.23,0.34,0.25,0.29,0.33,0.46
PUTUMAYO,ECOPETROL D. SUR,PUERTO ASIS,ORITO,QUILILI,0.42,0.31,0.3,0.27,0.24,0.02,0.4,0.27,0.31,0.31,0.31,0.31
PUTUMAYO,ECOPETROL D. SUR,PUERTO CAICEDO,ORITO,CENCELLA,0,0,0,0,0,0,0,0.03,0.01,0,0,0
PUTUMAYO,ECOPETROL D. SUR,PUERTO CAICEDO,ORITO,MANSOYA,0.04,0.05,0.05,0.06,0.01,0,0,0.03,0.01,0,0,0
PUTUMAYO,ECOPETROL D. SUR,PUERTO CAICEDO,ORITO,SIBUNDOY,0.01,0.02,0.05,0.05,0.05,0.06,0,0.03,0.01,0,0,0
PUTUMAYO,ECOPETROL D. SUR,PUERTO CAICEDO,ORITO,YURILLA,0,0,0.02,0.05,0.05,0.06,0,0.03,0.01,0,0,0
PUTUMAYO,ECOPETROL D. SUR,SAN MIGUEL,ORITO,ACAE-SAN MIGUEL (PTO COLON),0.53,0.74,0.76,0.35,1.1,1.9,0.89,0.51,0.66,0.74,1.05,1.08
PUTUMAYO,ECOPETROL D. SUR,SAN MIGUEL,ORITO,LORO,0.47,0.4,0.26,0.16,0.64,1.24,0.67,0.34,0.24,0.2,0.46,0.46
PUTUMAYO,ECOPETROL D. SUR,VALLE DEL GUAMUEZ,ORITO,HORMIGA,0.22,0.19,0.17,0.06,0.15,0.27,0.08,0,0,0,0.12,0.1
PUTUMAYO,EMERALD ENERGY  DE COLOMBIA PLC,VILLAGARZON,MARANTA,AGAPANTO,0,0.02,0.08,0,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.01
PUTUMAYO,EMERALD ENERGY  DE COLOMBIA PLC,VILLAGARZON,MIRTO E&P,MIRTO,0,0.05,0.03,0.06,0.04,0.06,0.05,0.04,0.05,0.04,0.04,0.06
